CONDITION,COUNT
Lymphadenitis viral,1
Thyroid cancer stage III,1
Spinal cord haemorrhage,8
Implant site paraesthesia,2
Chronic actinic dermatitis,1
Superior semicircular canal dehiscence,1
Bronchospasm paradoxical,2
Action tremor,4
Vertebroplasty,5
Hyperpathia,14
Necrotising ulcerative gingivostomatitis,2
Crystal nephropathy,21
Mitochondrial DNA depletion,1
Uterine inversion,1
Burkholderia infection,4
Abortion missed,17
Adnexa uteri cyst,1
Poverty,1
Diabetes mellitus management,2
Oesophageal squamous cell carcinoma metastatic,3
Eosinophilic pleural effusion,5
Tropical sprue,2
Acute chest syndrome,2
Infusion site thrombosis,4
Visceroptosis,1
Non-Hodgkin's lymphoma recurrent,6
Plasmodium vivax infection,3
Blood stem cell transplant failure,4
Visual agnosia,1
Familial amyloidosis,1
5q minus syndrome,4
Penetrating aortic ulcer,1
Male orgasmic disorder,4
Somatostatin receptor scan abnormal,5
Vascular shunt,3
Myxoedema,3
Pharyngeal polyp,4
Scrotal ulcer,6
Dengue virus test positive,1
Chemotherapeutic drug level below therapeutic,1
Hypercapnic coma,4
Transaminases,2
Cytomegalovirus gastrointestinal infection,7
Dengue haemorrhagic fever,6
Necrosis of artery,2
Subacute endocarditis,1
Chimerism,9
Jarisch-Herxheimer reaction,18
Carcinoma in situ,1
Autoimmune neuropathy,3
Drug screen negative,36
External nose lesion excision,1
Pupillary light reflex tests abnormal,8
Hypothalamic pituitary adrenal axis suppression,14
Metastases to prostate,1
Postresuscitation encephalopathy,1
Acute lymphocytic leukaemia (in remission),1
Signet-ring cell carcinoma,1
External ear pain,5
Gastroenteropancreatic neuroendocrine tumour disease,5
CHARGE syndrome,1
Chromosomal mutation,4
Acute vestibular syndrome,3
Phagocytosis,2
Tracheal ulcer,1
Vertebral lesion,9
Genital discharge,5
Erythromelalgia,5
Cutaneous blastomycosis,3
Refractoriness to platelet transfusion,3
Granulomatous lymphadenitis,5
Haemosiderosis,1
Exposure via contaminated device,5
Change in sustained attention,5
Wrong product stored,4
Foreign body reaction,6
Laryngeal haemorrhage,2
Smooth muscle antibody positive,1
Central nervous system necrosis,7
Amylase abnormal,3
Lipase abnormal,6
Central nervous system haemorrhage,8
Adenoviral hepatitis,1
Visual snow syndrome,2
Burglary victim,1
Pseudocellulitis,4
Ex-tobacco user,2
Urate nephropathy,1
Trichomegaly,4
Femoral artery embolism,2
Renal cancer stage I,2
Eyelid bleeding,3
Endocarditis staphylococcal,18
"Brief psychotic disorder, with postpartum onset",9
Central nervous system inflammation,4
Pyelitis,3
Amoebic brain abscess,1
Cardiomyopathy alcoholic,1
Stress ulcer,3
Metastatic choriocarcinoma,1
Conjunctival pallor,2
Procalcitonin decreased,1
Drug withdrawal maintenance therapy,2
Negative pressure pulmonary oedema,4
Visual brightness,3
Retinal dystrophy,2
Paratracheal lymphadenopathy,2
Accessory spleen,5
Lymphatic mapping,1
Urea renal clearance decreased,1
Thrombin time prolonged,2
Drug level,4
Delirium febrile,1
Small intestine adenocarcinoma,3
Antibiotic level above therapeutic,8
Burkholderia cepacia complex sepsis,2
Uterine haematoma,3
Alcohol rehabilitation,1
Blood immunoglobulin E abnormal,2
Ovarian cancer metastatic,3
Post procedural urine leak,4
Central nervous system stimulation,7
Alopecia totalis,4
Hypoosmolar state,4
Ewing's sarcoma recurrent,2
Foetal placental thrombosis,2
Meningitis borrelia,1
Pigment nephropathy,5
Medical device site abscess,1
Meconium aspiration syndrome,2
Chest wall haematoma,6
Dural tear,1
Anaphylactoid shock,19
Eyelid retraction,1
Interstitial granulomatous dermatitis,3
Peripheral nerve transposition,2
Coxsackie viral infection,2
Ovarian adenoma,8
Hepatic vein occlusion,2
Enzyme activity decreased,1
Squamous cell carcinoma of the oral cavity,22
Cervix injury,6
Human chorionic gonadotropin decreased,3
Drug screen,2
Radiation interaction,9
Developmental regression,2
Coombs direct test positive,10
Coombs indirect test positive,5
Crossmatch incompatible,4
Hypertensive hydrocephalus,1
Brain neoplasm benign,7
Scrotal pain,5
Ovarian injury,1
Post micturition dribble,3
Imaging procedure,1
Metastases to gastrointestinal tract,8
Benign duodenal neoplasm,1
Abdominal strangulated hernia,3
Segmented hyalinising vasculitis,1
Elephantiasis,2
Respiratory syncytial virus test positive,10
Acute endocarditis,3
Meningitis enterococcal,2
Red blood cell acanthocytes present,1
Spleen atrophy,2
Malacoplakia,7
Athetosis,6
Human anaplasmosis,1
Radiation overdose,1
Ocular cancer metastatic,1
Ectopic pregnancy termination,1
Loose associations,1
Product primary packaging issue,5
Arthritis salmonella,1
Remission not achieved,18
Histiocytic necrotising lymphadenitis,3
Polyneuropathy idiopathic progressive,1
Testicular cyst,4
Ligamentitis,5
Periodontal destruction,1
Intracranial meningioma malignant,1
Abdominal wall operation,2
Haemangioblastoma,4
Corneal degeneration,4
Vocal cord polyp,4
Lung adenocarcinoma stage I,1
Pancreatic injury,7
Product origin unknown,1
Phobia of driving,1
Retinal neovascularisation,7
Meningoencephalitis viral,12
Ileal ulcer perforation,1
Varicella zoster pneumonia,3
Vascular access site pain,1
Fatty liver alcoholic,1
Mycotic endophthalmitis,2
Cervix haemorrhage uterine,1
IIIrd nerve disorder,4
Ear tube insertion,3
Fluorosis,3
Streptobacillus infection,1
Bundle branch block,11
Electroconvulsive therapy,2
Aortic stent insertion,2
Injection site recall reaction,2
Protothecosis,1
Ureteral necrosis,1
Oropharyngeal discolouration,2
Pelvic neoplasm,5
High risk pregnancy,6
Heteroplasia,1
Hyperinsulinaemic hypoglycaemia,4
Retrograde ejaculation,12
Product packaging counterfeit,1
Cerebral haemangioma,2
Haemorrhagic fever,2
Meningitis fungal,2
Growth accelerated,1
Human herpes virus 6 serology positive,1
Mediastinal haematoma,8
Reactive perforating collagenosis,1
Coxiella infection,1
Cerebral haemosiderin deposition,2
Application site extravasation,2
Nerve root injury cervical,1
Corneal graft rejection,2
Lack of administration site rotation,14
Anaplastic large cell lymphoma T- and null-cell types stage III,3
Peripheral T-cell lymphoma unspecified stage IV,14
Ventricular pre-excitation,1
HER-2 positive breast cancer,4
Neurosensory hypoacusis,7
Hypnopompic hallucination,2
Corneal epithelial microcysts,2
Delusion of replacement,1
Amimia,2
Iron metabolism disorder,3
Blood heavy metal increased,4
Conjunctival disorder,3
Pseudolymphoma,8
Sexually inappropriate behaviour,10
Blood immunoglobulin E decreased,6
Anaplastic large cell lymphoma T- and null-cell types stage II,2
Low density lipoprotein abnormal,10
Dupuytren's contracture operation,1
Hepatitis B surface antigen positive,12
Tooth repair,12
Metabolic function test,1
Congenital megacolon,3
Triple negative breast cancer,30
Interventricular septum rupture,2
Exposure to violent event,2
Hashimoto's encephalopathy,1
HLA-B*27 positive,3
Palindromic rheumatism,2
Pleural mesothelioma,2
Gelatinous transformation of the bone marrow,1
White blood cell analysis abnormal,1
Loss of visual contrast sensitivity,1
Vaginal cellulitis,3
Placental infarction,3
Acquired corneal dystrophy,1
Creatine urine increased,1
Urine electrolytes increased,1
Urine uric acid increased,1
Pulmonary vascular resistance abnormality,3
Spontaneous intrahepatic portosystemic venous shunt,1
Yersinia infection,5
Injection site coldness,8
Adiposis dolorosa,2
Epidermolysis,7
Blastic plasmacytoid dendritic cell neoplasia,2
Granulomatous pneumonitis,3
Chronic cheek biting,3
Failure of child resistant mechanism for pharmaceutical product,15
Myotonia congenita,1
Dysmetropsia,8
Citrobacter test positive,1
Pancreatogenous diabetes,1
Endometriosis ablation,2
Pseudostroke,3
Adjustment disorder with mixed anxiety and depressed mood,1
Prosthetic cardiac valve thrombosis,3
Corneal reflex decreased,7
Liver function test,3
Rhabdomyosarcoma,4
Bacillus bacteraemia,6
Lupus vulgaris,1
Injection site pustule,6
Chordoma,13
Device power source issue,2
Agitated depression,1
Genital infection female,4
Congenital nipple anomaly,1
Intestinal transit time abnormal,1
Salivary gland cancer stage IV,1
Viral load,6
Reperfusion arrhythmia,1
Anti factor X activity,1
Nuclear magnetic resonance imaging heart,1
Sticky skin,10
Trichodysplasia spinulosa,5
Urinary tract operation,2
Cardiomyopathy acute,1
Blood pressure orthostatic abnormal,7
Fibrinolysis,1
Dialysis device insertion,2
Heart sounds,3
Diabetic bullosis,2
Adrenal thrombosis,1
Diastolic hypertension,5
Tremor neonatal,2
Xerophthalmia,13
Adjusted calcium decreased,5
Pyometra,1
Enlarged clitoris,3
Enzyme level test,1
Premedication,1
Breast oedema,4
Assisted suicide,2
Laryngitis bacterial,2
Anterior chamber cell,6
Aqueous fibrin,5
Spinal subdural haematoma,8
Accidental exposure to product packaging,7
Oesophagogastrectomy,1
Corneal bleeding,4
Biliary fistula,3
Genitourinary symptom,10
Bone lesion excision,3
Female reproductive neoplasm,1
Nasal flaring,1
Vascular access site haemorrhage,5
High-grade B-cell lymphoma,6
Keratitis fungal,2
Neurotrophic keratopathy,1
Pythium insidiosum infection,1
Pleurectomy,1
Shift to the left,3
Peliosis hepatis,1
Bendopnoea,2
C-telopeptide,1
Cheyne-Stokes respiration,5
Trichoglossia,4
Blood ketone body,9
Diabetic glaucoma,1
Tongue paralysis,7
Instillation site discomfort,11
Angioimmunoblastic T-cell lymphoma stage IV,11
Cutaneous T-cell lymphoma stage I,4
Corrosive gastritis,1
Precursor T-lymphoblastic lymphoma/leukaemia stage I,3
Cerebral calcification,3
Neuroendocrine tumour of the lung metastatic,2
Hypocapnia,5
Rectal spasm,2
Therapeutic nerve ablation,2
Retinal aneurysm,5
Retinopathy hypertensive,6
Red blood cell count,1
Visual pathway disorder,1
Premenstrual dysphoric disorder,2
Salpingo-oophorectomy,2
Thymoma,7
Peripheral artery bypass,2
Colposcopy,2
Administration site necrosis,4
Self esteem inflated,1
Obstructive defaecation,5
Enteral nutrition,6
Thyroid cancer recurrent,1
Spermatic cord funiculitis,1
LDL/HDL ratio decreased,1
Postpartum sepsis,2
Graft delamination,2
Graft overgrowth,1
Hepatitis B DNA assay positive,7
Arrhythmia neonatal,5
Necrotising enterocolitis neonatal,6
Motor neurone disease,5
Small intestinal anastomosis,1
Exercise electrocardiogram abnormal,2
Infectious disease carrier,2
Hepatitis B antibody positive,5
Hepatitis B e antigen negative,2
Hepatitis B surface antigen negative,2
Perihepatic discomfort,2
Eczema weeping,2
Contrast encephalopathy,12
Obstructive shock,2
Craniofacial fracture,1
Testis discomfort,2
Impaired insulin secretion,3
Hyponatraemic syndrome,12
Bone marrow leukaemic cell infiltration,1
Drain site complication,5
Anti-insulin antibody positive,2
Lack of satiety,2
Necrotising ulcerative periodontitis,1
Mixed dementia,2
Parvovirus B19 infection,13
Anaplastic large cell lymphoma T- and null-cell types stage IV,1
Drug dispensed to wrong patient,13
Gastric cyst,2
Delayed puberty,2
Subclavian artery embolism,1
Pancreatic enzymes,1
Erythropenia,2
Limb immobilisation,6
Type 1 lepra reaction,1
Persistent corneal epithelial defect,1
Prostate ablation,1
N-terminal prohormone brain natriuretic peptide decreased,4
Dysprosody,1
Electrocardiogram PR shortened,2
Metastases to tonsils,1
Scan,1
Mediastinum neoplasm,1
Fusobacterium infection,2
Peripartum cardiomyopathy,3
Hydrocele operation,1
PIK3CA-activated mutation,7
Seroconversion test positive,1
Genital cancer male,1
Thyroxine abnormal,2
Mitochondrial enzyme deficiency,3
Rectosigmoid cancer metastatic,2
Nuclear magnetic resonance imaging neck,1
Osteoma cutis,3
Gastrointestinal tract mucosal pigmentation,3
Total cholesterol/HDL ratio abnormal,1
Anisochromia,2
Neutrophil toxic granulation present,2
Vascular resistance systemic,2
International normalised ratio,1
Oropharyngeal oedema,2
Neonatal asphyxia,6
Choluria,9
Choriocarcinoma,4
Purulent pericarditis,5
Renal and pancreas transplant rejection,2
Sinus tarsi syndrome,1
Malignant muscle neoplasm,3
Perforation bile duct,2
Cerebral amyloid angiopathy,4
BRCA2 gene mutation,3
Meningitis coccidioides,4
Intra-abdominal pressure increased,8
Ectopia cordis,1
Holoprosencephaly,2
Catheter site abscess,2
Heyde's syndrome,2
Cardioactive drug level decreased,3
Illogical thinking,1
Biochemical pregnancy,1
Dermal sinus,5
Peptostreptococcus infection,5
Candida test positive,5
Traumatic renal injury,1
Endometrial neoplasm,2
Late onset hypogonadism syndrome,3
Hepatitis A antibody,1
Acute stress disorder,7
Parasympathetic nerve injury,1
Thyrotoxic periodic paralysis,2
Crowned dens syndrome,1
Floppy eyelid syndrome,2
Ovulation pain,7
Pseudomonas bronchitis,2
Meningoencephalitis bacterial,6
Laryngeal dysplasia,1
Carotid artery bypass,1
Gastric ulcer helicobacter,2
Muscle operation,1
Osteomyelitis fungal,1
Karnofsky scale worsened,1
NIH stroke scale score increased,4
Amphetamines positive,9
Cerebrospinal fistula,2
Spontaneous haematoma,17
Sclerodactylia,2
Very low density lipoprotein increased,2
Jaundice acholuric,3
Wrong dosage form,1
Tuberculosis of eye,3
Aorto-oesophageal fistula,6
Paraesthesia mucosal,3
Mitochondrial myopathy,2
Type IIa hyperlipidaemia,5
Injury to brachial plexus due to birth trauma,2
Congenital midline defect,1
Congenital ectodermal dysplasia,1
Neonatal pneumonia,3
Junctional ectopic tachycardia,12
CSF volume decreased,1
Oestradiol abnormal,3
Injected limb mobility decreased,4
Diverticulum oesophageal,3
BRCA1 gene mutation,3
Steroid therapy,3
Gastritis hypertrophic,1
Somnolence neonatal,5
Testicular infarction,1
Nervous system injury,6
Wrong strength,4
Rebound psychosis,6
Neurological examination abnormal,13
Heterophoria,4
Anterior displaced anus,6
Limb hypoplasia congenital,4
Renal lithiasis prophylaxis,1
Nasal septum disorder,2
Xanthelasma,3
Myocardial stunning,11
Exposure to unspecified agent,2
Chloasma,4
Mastitis bacterial,1
Renin increased,1
Splenic artery thrombosis,2
Hyperoxia,1
Male genital tract fistula,1
Antiphospholipid antibodies,1
Bone giant cell tumour,10
Serology positive,3
Splinter,6
Blood thrombin abnormal,1
Postpartum uterine subinvolution,1
Coagulation test,2
Toxic neuropathy,13
Therapeutic response prolonged,2
Pancreatitis haemorrhagic,3
Spinocerebellar ataxia,2
Ischaemic contracture of the left ventricle,1
Pyoderma streptococcal,1
Thalassaemia alpha,3
Schizencephaly,1
Ear operation,4
Incision site oedema,3
Mycobacterium tuberculosis complex test,1
Acanthoma,3
Coronary angioplasty,5
Peripheral artery stent insertion,1
Emphysematous pyelonephritis,4
Large granular lymphocytosis,2
Diabetic hyperglycaemic coma,2
Ultrasound scan,1
Vagal nerve stimulator implantation,2
Urine amphetamine positive,7
Hypervitaminosis D,2
BK polyomavirus test positive,9
Spontaneous ejaculation,4
PTEN gene mutation,1
Congenital aortic valve stenosis,10
Meige's syndrome,3
Bile culture positive,1
Gastrointestinal adenocarcinoma,1
Haemorrhagic vasculitis,5
K-ras gene mutation,4
Neuromuscular blockade,7
Hypotrichosis,4
Planning to become pregnant,2
Myeloblast percentage increased,1
Withdrawal catatonia,12
Protein S deficiency,3
Congenital multiplex arthrogryposis,2
Fallopian tube operation,3
Malignant pituitary tumour,2
Antiandrogen therapy,2
Pleural mesothelioma malignant,3
Foetal cardiac disorder,5
Investigation noncompliance,3
Cerebellar stroke,7
Penile abscess,4
Testicular injury,2
Megakaryocytes abnormal,3
External ear disorder,2
Hodgkin's disease nodular sclerosis stage III,6
Congenital uterine anomaly,9
Single umbilical artery,2
Trisomy 9,1
Small intestine carcinoma recurrent,1
Rapid eye movements sleep abnormal,4
Coronary artery surgery,2
Acute myeloid leukaemia refractory,4
Abortion induced complete,1
Osteotomy,3
Pulmonary oil microembolism,2
Puncture site pain,3
Postmortem blood drug level,3
Radioembolisation,1
Anastomotic ulcer haemorrhage,1
Stent removal,2
Psychopathic personality,3
Soft tissue foreign body,2
Pituitary gland operation,1
Hypnagogic hallucination,8
Electrocardiogram ST-T change,7
Anterior chamber flare,3
Glucose tolerance increased,1
Treponema test positive,3
Gastroenteritis astroviral,2
Malignant atrophic papulosis,2
Rectosigmoid cancer recurrent,1
Swallow study abnormal,2
Breast prosthesis implantation,4
Aural polyp,2
Anorectal infection,4
Onychophagia,3
Congenital tracheomalacia,2
Sex chromosome abnormality,1
Gastric leiomyoma,1
Cardiac index decreased,2
Rectal cancer recurrent,4
Rectal cancer stage II,2
Mirror syndrome,2
Emphysematous cystitis,4
Testicular hypertrophy,1
Cortisol free urine increased,1
Peptostreptococcus test positive,1
"Follicle centre lymphoma, follicular grade I, II, III",1
Cortical visual impairment,1
Atypical mycobacterial lymphadenitis,3
Oral neoplasm benign,6
Protein induced by vitamin K absence or antagonist II increased,2
Vaccination site mass,1
Choreoathetosis,3
Blood pH abnormal,1
Venous oxygen saturation decreased,2
Necrotising soft tissue infection,7
Mesothelioma malignant,4
Granulomatous rosacea,1
Laryngeal cancer stage III,1
Temporomandibular joint surgery,1
Pelvic floor repair,2
Implantable cardiac monitor insertion,2
Intervertebral disc annular tear,3
Myeloblast count increased,2
Hip disarticulation,1
Intestinal mucosal atrophy,1
Acquired mitochondrial DNA mutation,1
Duodenal vascular ectasia,1
Premenstrual headache,2
Premenstrual pain,3
Lumbar puncture,6
Strabismus correction,1
Mycobacterium test positive,2
Choroid plexus carcinoma,2
Benign soft tissue neoplasm,1
Ectopic kidney,5
Infection masked,2
Endocardial fibroelastosis,2
Glaucomatous optic disc atrophy,1
Heterotopic pregnancy,2
Intestinal fistula repair,1
Hereditary optic atrophy,4
Blood hyposmosis,1
Vaccination site inflammation,2
Endocardial disease,1
Uraemic encephalopathy,11
Torulopsis infection,1
Phlebosclerosis,2
Acute myeloid leukaemia (in remission),1
Volvulus of small bowel,1
Reactive airways dysfunction syndrome,1
Glomerulonephritis proliferative,10
IgM nephropathy,1
Abortion spontaneous complete,1
Gingival atrophy,2
Phaeohyphomycotic brain abscess,1
Oligodipsia,2
Aglossia,1
B-cell small lymphocytic lymphoma,8
Choroidal sclerosis,1
Nasal mucosal blistering,1
Penicillium infection,1
Meningeal neoplasm,2
Protein S decreased,5
Proctitis haemorrhagic,2
Laryngeal obstruction,6
Ulnar nerve palsy,1
Peristalsis visible,2
Fracture debridement,2
Skin implant removal,1
Hernia hiatus repair,7
Sarcoma of skin,10
Administration site calcification,2
Lichen planopilaris,3
Congenital facial nerve hypoplasia,1
Mycobacterium kansasii infection,1
Capnocytophaga infection,8
Apparent life threatening event,6
Cellulitis streptococcal,3
Inferior vena caval occlusion,2
Hepatobiliary neoplasm,1
Rash scarlatiniform,1
Thoracic cavity lavage,1
Myeloblast count decreased,1
Proerythroblast count abnormal,1
Subacute sclerosing panencephalitis,2
Subretinal haematoma,1
Tooth avulsion,3
Retinal artery thrombosis,1
Ventricular failure,4
Waldenstrom's macroglobulinaemia recurrent,2
Extensive swelling of vaccinated limb,2
Implant site ulcer,1
Malignant oligodendroglioma,1
Lipoprotein (a) increased,7
Pneumonia escherichia,2
Tonsillar erythema,2
Medical device battery replacement,3
Reproductive complication associated with device,3
Arterial intramural haematoma,6
Portal tract inflammation,6
Retinal vein thrombosis,3
Prohormone brain natriuretic peptide abnormal,1
Drug effect faster than expected,8
Interchange of vaccine products,3
Herpes dermatitis,2
Papulopustular rosacea,2
Ventricular flutter,2
Lisfranc fracture,1
Barium swallow abnormal,1
Basal cell naevus syndrome,1
Spondylolysis,1
Bursa removal,2
Rubella,3
Genetic polymorphism,1
Urothelium erosion,4
Antineutrophil cytoplasmic antibody,1
Penile necrosis,4
Tyrosinaemia,2
Parathyroid scan abnormal,1
Hereditary spherocytosis,2
Selective abortion,1
Limb prosthesis user,2
Device monitoring procedure not performed,1
VIIIth nerve injury,2
Mononeuropathy,3
Endoscopy small intestine,1
Cardiothoracic ratio increased,2
Rib deformity,4
Incision site haematoma,1
Tympanosclerosis,2
Dysponesis,1
HIV test,1
Physical abuse,3
Varicella zoster oesophagitis,2
Alkalosis,4
Acquired epileptic aphasia,4
Angiogram pulmonary abnormal,1
Human herpesvirus 8 infection,9
Abdominal wall anomaly,1
Dental alveolar anomaly,1
Cephalin flocculation abnormal,1
Citrobacter bacteraemia,4
Human polyomavirus infection,13
Corneal infiltrates,10
Visual perseveration,1
Anal neoplasm,2
Nasopharyngeal cancer stage II,1
CSF neutrophil count increased,1
Limb reduction defect,14
Rhythm idioventricular,11
Ovarian germ cell teratoma benign,2
Bone prosthesis insertion,1
Malignant glioma,2
Semen viscosity abnormal,1
CSF HIV escape syndrome,23
Blood urine absent,1
Congenital brain damage,10
Sitting disability,4
Benign urinary tract neoplasm,1
Subacute inflammatory demyelinating polyneuropathy,2
Congenital laryngeal stridor,2
Hypoventilation neonatal,1
Craniofacial dysostosis,1
Post abortion infection,1
Retained products of conception,4
Haematinuria,1
Malignant urinary tract neoplasm,2
Progesterone decreased,5
Vessel puncture site inflammation,4
Polyglandular disorder,1
Protein albumin ratio decreased,1
Instillation site bruise,1
Cholangiolitis,1
Sporotrichosis,2
Ammonia,3
Interferon gamma level increased,1
Breath holding,1
Pleural infection bacterial,1
Chemotherapy toxicity attenuation,1
Blood HIV RNA below assay limit,1
Oedema blister,1
Coeliac artery stenosis,3
Faecal calprotectin decreased,1
Lumbar puncture abnormal,2
Herpes zoster meningoencephalitis,27
Lymph node abscess,4
Sedative therapy,1
Medical device site rash,1
Carotid pulse abnormal,1
Infusion site paraesthesia,3
Calcium intoxication,1
Electrocardiogram QRS complex,2
Uterine atony,2
Diverticulitis oesophageal,1
Clinical trial participant,3
Cervix operation,2
Primary effusion lymphoma,3
Carditis,7
Lipidosis,1
Ischaemic skin ulcer,3
Intraocular pressure fluctuation,4
Anal sphincter hypertonia,2
Acid fast bacilli infection,4
Induced abortion haemorrhage,1
Fasting,2
Hyperglycaemic unconsciousness,3
Aortic perforation,1
Hepatic calcification,6
Pharyngeal dystonia,1
Therapy responder,7
Neuroprosthesis implantation,2
Posterior fossa decompression,1
Poor dental condition,5
Model for end stage liver disease score increased,4
Combined pulmonary fibrosis and emphysema,1
Brief psychotic disorder with marked stressors,8
Plasma cells increased,3
Precursor B-lymphoblastic lymphoma,1
Adams-Stokes syndrome,2
Bladder adenocarcinoma recurrent,1
Anterior chamber inflammation,3
Intraductal papilloma of breast,1
Lobular breast carcinoma in situ,1
Noninfective conjunctivitis,1
Small cell lung cancer extensive stage,1
Duodenogastric reflux,3
Device computer issue,2
Absence of immediate treatment response,1
Juvenile psoriatic arthritis,1
Retro-orbital neoplasm,9
Tonsillar ulcer,11
Tuberculous laryngitis,1
Implant site reaction,6
Eyelash thickening,4
Chest wall mass,2
Biopsy site unspecified abnormal,1
Cervix inflammation,1
Joint debridement,2
Hypoglossal nerve paralysis,2
Amoeba test negative,1
Ciliary hyperaemia,3
Urine calcium decreased,2
Renal hydrocele,4
Scrotal disorder,2
NIH stroke scale abnormal,1
Urinary sediment,2
Skin neoplasm bleeding,1
Exaggerated startle response,2
Opisthotonus,7
Manufacturing equipment cleaning issue,2
Selective polysaccharide antibody deficiency,1
Prophylaxis,2
Swollen tear duct,4
Scrotal mass,2
Anal spasm,3
Peripheral nerve palsy,6
Hypertrophy of tongue papillae,3
Thalassaemia,5
Facioscapulohumeral muscular dystrophy,1
Full blood count,1
Abscess sterile,2
Neck dissection,2
Ovarian operation,2
Large intestinal ulcer perforation,2
Convulsion in childhood,1
Glycogen storage disease type V,6
HIV viraemia,5
Infertility male,4
Anti-cyclic citrullinated peptide antibody,3
Peripheral artery dissection,1
Idiopathic urticaria,4
Ureteric injury,11
Penile vascular disorder,3
Cytomegalovirus myelomeningoradiculitis,1
Hepatitis B e antigen positive,2
Bacteroides bacteraemia,2
Intraductal papillary-mucinous carcinoma of pancreas,3
Peak expiratory flow rate abnormal,1
Ammonia decreased,2
Stag horn calculus,4
Painful ejaculation,4
Hypervitaminosis,1
"Inguinal hernia, obstructive",1
Merycism,2
Herpes simplex pneumonia,3
Stertor,5
Sciatic nerve palsy,1
Blood bicarbonate abnormal,2
Scrotal erythema,2
Lenticular opacities,3
Nerve degeneration,3
Pancreatic atrophy,4
Sarcomatoid carcinoma,1
Clostridium bacteraemia,1
Periarticular disorder,4
Penile exfoliation,4
Periorbital disorder,2
Anal hypoaesthesia,2
Neutropenic infection,10
Anaesthetic complication neurological,2
Vascular access site thrombosis,1
Product design confusion,3
Hair growth rate abnormal,3
Genital infection bacterial,3
Sudden unexplained death in epilepsy,8
Drug level abnormal,5
Hyperkeratosis follicularis et parafollicularis,1
Deficiency of bile secretion,3
Application site plaque,1
Psychological abuse,1
Chondroma,3
Analgesic therapy,1
Meigs' syndrome,1
Intercepted wrong patient selected,2
Joint vibration,2
Second degree chemical burn of skin,3
Anaplastic large cell lymphoma T- and null-cell types,6
Mesenteric haemorrhage,2
Erythema induratum,3
Parotidectomy,2
Urinary bladder abscess,1
Renal hypoplasia,1
End-tidal CO2 decreased,3
Persistent foetal circulation,3
Tethered cord syndrome,2
Congenital HIV infection,1
Breast haemorrhage,4
Ventriculo-peritoneal shunt,3
Diabetic wound,4
Anamnestic reaction,2
Malignant neoplasm of islets of Langerhans,1
Superior vena cava occlusion,4
Traumatic lumbar puncture,2
Decreased embryo viability,1
Vascular compression,4
Injection site joint erythema,1
Urine amphetamine negative,1
Peptic ulcer perforation,1
Cerebral lobotomy,1
Vocal cord polypectomy,1
Angioimmunoblastic T-cell lymphoma stage III,9
Angioimmunoblastic T-cell lymphoma stage II,1
Angioimmunoblastic T-cell lymphoma stage I,1
Supplementation therapy,2
Chlamydial infection,12
Fallopian tube cancer,2
Amputation of penis,1
Device used for unapproved schedule,1
Peripheral T-cell lymphoma unspecified stage III,3
Peripheral T-cell lymphoma unspecified stage II,2
Peripheral T-cell lymphoma unspecified stage I,1
Exposure via direct contact,1
Parotid duct obstruction,1
Corneal abscess,2
Anal erosion,1
Membrane stabilising effect,1
Prostatic abscess,2
HELLP syndrome,10
Cutaneous leishmaniasis,2
Thyroglobulin decreased,1
Peritoneocutaneous fistula,1
Ovarian germ cell endodermal sinus tumour,1
Anti factor IX antibody increased,1
Pacemaker generated arrhythmia,1
Iodine overload,3
Herpes oesophagitis,1
Failure to anastomose,9
Congenital arterial malformation,3
Cerebral congestion,3
Expulsion of medication,5
Shrinking lung syndrome,2
Atrio-oesophageal fistula,1
Gallbladder fistula,1
Small intestinal ulcer haemorrhage,4
Tri-iodothyronine abnormal,1
Roux loop conversion,1
Removal of foreign body from throat,1
Reverse tri-iodothyronine increased,1
Anti-VGKC antibody positive,1
Refractory cancer,3
Base excess increased,1
Infusion site lymphadenopathy,1
Wrong drug,8
Vitreous haze,2
Rebound nasal congestion,1
Medical device site hypersensitivity,1
Ventricular asystole,1
Exfoliation syndrome,2
Spinal synovial cyst,4
Pneumocystis test positive,1
Phosphorus metabolism disorder,3
Agonal rhythm,2
Injection site macule,8
Hepatic artery occlusion,3
Lagophthalmos,1
Sadism,3
Inflammatory carcinoma of breast stage IV,2
Congenital urethral anomaly,1
Enterobiasis,2
Tuberculin test false positive,2
T-lymphocyte count increased,2
Stiff leg syndrome,2
Implant site abscess,3
Xanthogranuloma,3
Blood triglycerides normal,1
Hepatic embolisation,1
Oculomucocutaneous syndrome,6
Histone antibody positive,1
Acquired macroglossia,3
Intercepted product selection error,6
Application site cellulitis,2
Placental transfusion syndrome,1
Systolic anterior motion of mitral valve,1
Vaginoplasty,2
Ureteral stent removal,2
Ankle impingement,1
Myxoid liposarcoma,7
Limb girth decreased,2
Salivary gland induration,1
Renal replacement therapy,3
Venous operation,2
Congenital neuropathy,1
Oral pigmentation,3
Implant site erosion,7
Implant site hypersensitivity,5
Granulomatous dermatitis,12
Pulmonary microemboli,2
Rectovaginal septum abscess,1
Kawasaki's disease,4
Lung squamous cell carcinoma stage IV,1
Radiation oesophagitis,7
Tuberculin test false negative,3
Decerebrate posture,1
Pigmentary glaucoma,1
Lumbosacral radiculopathy,10
Gingival hyperpigmentation,2
Tissue discolouration,2
Scleral pigmentation,1
Infected neoplasm,2
